geneSymbol	Early malignant epithelial cell	Endothelial cell	Enteroendocrine	GMC	Goblet cell	MSC	PC	PMC	Premalignant epithelial cell	Stromal cell
CA2	130.8913259	109.7308983	59.52061962	405.7682727	79.08964305	818.0000063	523.5743228	1314.836005	528.8233212	77.68781381
REP15	0.810268963	5.293998872	3.00976934	4.794366055	94.71769239	17.93271645	39.13047001	87.26982011	38.49532523	1.484327532
CAPN9	1.903789493	2.661867247	3.562374454	13.39454986	35.31665703	55.70409982	44.29208177	64.17314641	27.96385614	5.636144295
TMEM38A	7.144190764	6.211537308	14.31220585	12.24069699	16.00664519	17.93271645	15.95548468	46.71117697	9.138143967	5.852761856
DKK1	0.061926148	1.152525183	3.963946639	67.60479601	1.43020595	50.84401058	31.94261973	31.54696189	8.004132618	2.432694938
MUC1	44.4736135	110.6786064	236.6448092	533.8334534	189.3932958	787.3218096	587.0695606	1200.06069	578.4418297	124.7592048
RNF223	5.05271069	3.052835094	2.894948431	12.50255867	8.554369149	15.63950804	28.73808175	46.87012072	12.59564836	1.878881007
RAB27B	16.09662016	9.862501748	10.83095679	46.09426075	69.25699209	50.84401058	132.0582756	181.7515537	52.53943999	11.32148051
LINC01133	22.7233743	14.94518918	9.477561496	26.3108313	40.78292217	135.2602456	237.7813889	320.484822	237.1074201	25.65782239
LGALS9C	4.419037917	2.22295849	3.293443232	2.74067924	15.70535188	135.2602456	19.43332684	55.15367859	10.12317733	4.684660248
SFTA2	7.62853747	11.97713984	3.015674395	12.75229137	1.013054484	11.39679066	35.98722228	48.49000305	11.60345599	1.394594807
NPAS1	1.970742691	0.448596655	1.685035983	1.796924149	0.616465001	17.93271645	4.718381685	12.00535288	3.637469829	0.787665487
S100P	626.4137337	182.0708854	183.9876212	607.6636885	936.0434369	1872.554066	1794.376403	3597.657334	1796.15672	199.0943196
SECTM1	0.4012208	10.38500529	1.054349625	1.595357322	1.179150837	0	5.19441415	11.16431256	3.55454017	9.784352959
IL17RE	4.403268704	4.622034225	20.60386862	8.120459584	15.80528	68.77672702	24.29568903	45.14166669	15.98374913	3.903169355
ARL4C	3.14980178	22.81113691	41.16956352	4.002229402	9.617365067	67.10089049	23.01018788	54.02370554	21.05427994	7.55335806
CLDN18	45.2208042	80.78031609	470.9781264	652.7825331	492.8351871	2316.141842	1058.951513	1743.854094	544.9745141	133.1947059
SLC39A11	13.40112959	6.450362061	16.55865185	27.27022452	36.46062559	15.63950804	43.83845884	84.10992609	17.75655745	10.48765571
GALNT6	24.3488903	5.679593967	8.438944062	45.3557063	26.41355976	11.39679066	61.39069116	114.7542425	43.74883435	9.701077397
SYTL5	0.668195542	0.182731707	1.45615617	4.082526557	5.236875563	0	7.493012903	10.39991535	3.15667601	1.136241465
OASL	16.17429095	19.27243076	10.14209852	5.025807379	16.153912	0	31.39946822	78.31664282	36.6134264	15.85747875
IRX5	1.427101707	0.720995089	4.657864374	4.098586177	7.32203237	0	6.821150491	15.18595933	19.80756118	2.167869748
SYTL4	2.686815928	17.89987879	1.115721164	3.036724744	4.601885033	0	7.169716343	19.57811512	7.321728847	6.021246784
KLF2	60.91152649	300.3593017	35.43031301	99.24477869	110.256421	199.0530215	339.5336173	485.4983017	182.8925415	81.38929482
RASEF	26.68303436	7.24557726	12.60456712	49.39697758	57.0462343	261.416909	90.73199441	158.089693	87.67627679	9.588054272
DISP1	0.606269394	5.507993839	0.784026902	1.000698865	3.985302844	0	8.40383833	10.38349533	2.39902825	3.196924306
ANO7	0.350220847	4.187411193	3.956660941	11.16251715	22.83039948	26.4181512	17.32875088	36.22678679	3.729716097	3.54723669
RP11-395P17.11	1.331864301	1.853430772	7.810124499	2.446346162	1.385591384	4.242717376	6.347689395	18.03389782	5.490474674	0.978466992
RP11-350J20.12	4.628604312	0.182731707	0.915901659	15.24769552	5.836055613	0	8.932445913	19.38877504	3.013835802	0.512121456
PLA2G10	31.40211004	17.71922511	34.72148981	45.09337806	77.41544938	12.72815213	85.51097852	204.6356197	139.7163943	13.08045299
TOP2A	68.55739617	6.306030124	0.924405274	0.618169362	20.48815735	0	310.3913646	12.09208892	3.096418357	6.688422001
GTSE1	16.4512876	0.957590333	0.702073166	0.723380749	2.704473365	0	73.48059034	3.559190925	8.934267281	1.218160891
NUSAP1	53.0228484	6.045763209	2.112216676	4.077048364	9.647266226	0	221.63807	17.70768409	9.7581107	6.309648867
CEP55	20.89879653	1.929748984	0.800203156	0.093248043	9.488868343	0	77.59804872	5.582918175	2.609905067	1.850161157
UBE2C	171.9717399	6.769486747	2.966232119	2.289366146	52.76625111	0	527.03012	19.00447451	10.70273967	8.594379939
PRC1	26.99942757	7.378975328	1.1257942	1.044237989	3.72997163	0	122.1471101	8.39361493	5.161516362	2.65974976
CENPF	29.30623258	1.909659484	0.710938344	1.585464896	13.12070224	8.485434751	143.7336304	7.660065783	6.881799617	3.427193735
PLK1	37.0626367	1.722543682	1.70241252	0.646530092	7.768568597	0	102.4009396	5.292235298	3.455302663	6.371539791
CDK1	53.32790868	18.51113996	1.3222032	1.160722061	3.383878656	0	162.1422806	8.499096528	10.83301894	4.518027104
CCNB2	29.63182416	0.644291327	0.614369734	2.834574752	7.045571979	0	86.56300565	6.699420429	5.367028836	0.396234189
FOXM1	12.34580791	3.757540364	1.253657111	0.754754987	2.855531286	0	53.0029847	7.503498734	2.411810589	0.733715852
SPC25	21.45178201	1.752406846	0.23166078	0.847538856	3.569628799	0	53.84137189	4.02660437	1.954877115	0
AURKB	29.38985761	0.923018636	0.373915899	0.634447662	1.716685359	0	69.77092759	3.945661304	38.29608163	2.320324698
CCNA2	23.1234649	1.828545163	0.806716309	0.412005775	2.201578733	0	65.19670089	3.652407823	9.628027896	1.854266643
NMU	11.98899945	1.137956865	2.073117841	1.945583368	30.07258855	50.84401058	140.7642585	37.94282223	31.15823516	1.767798929
TPX2	33.58183321	1.569574535	0.752735122	1.436874387	6.926779484	4.242717376	97.58101858	6.974312086	5.628349253	4.421323017
SGOL1	15.28468677	0.456829269	0.390134657	0.868807799	8.445197987	0	56.88608868	5.200716083	3.314900434	1.058400322
MKI67	40.35047666	3.013491512	1.497870505	0.973840331	9.848643018	12.72815213	143.9225372	12.91895499	21.81432135	5.119076115
ANLN	19.29763883	1.77672701	0.910925576	0.869324863	2.304318565	17.93271645	80.44357127	7.420520018	3.486083131	1.956372329
MYBL2	13.44089382	1.31718631	0.743348464	0.606561336	3.415111719	0	51.38826578	9.414338936	1.847841525	0.287944945
CENPW	51.26671412	5.065792558	3.308731951	2.413871442	25.01125971	0	219.5668676	34.78543054	23.82198193	5.01257498
PTTG1	107.7534366	12.89278009	8.0265879	9.782112523	53.19002982	228.4254433	446.1246609	48.55753225	34.7832545	13.96816329
CENPA	31.78403912	0.091365854	0.280282055	0.189235455	4.679938851	22.17543382	84.52049506	3.107056747	3.945846355	2.843417105
MXD3	6.441347687	5.969483213	4.455786663	1.313451006	1.168621725	0	37.74390664	4.650400471	2.144972884	2.098423921
ARHGAP11A	17.4329384	0.829287607	1.07286914	0.236447884	1.45284133	4.242717376	44.82897089	3.868973227	2.047053263	1.197518801
CDC20	80.23824112	3.308166967	2.044695989	1.31418213	15.16572194	101.6880212	200.3921378	15.51270714	13.55512471	14.74982999
HIST1H4C	355.3073747	163.9278616	148.589946	109.9098021	217.8385216	82.78395701	2131.127696	278.4811986	465.3049068	202.7612429
OIP5	14.45342853	0.725405648	0.97388857	0.558066348	1.651898378	0	37.53056269	4.463184973	3.847330426	0.499930987
BIRC5	74.03843142	12.76140539	3.354774202	1.935766733	26.06042634	4.242717376	182.8117499	19.32915202	11.75084827	6.913980915
FAM83D	18.64075714	1.77672701	0.422419385	0.647637333	7.342857877	0	48.37964298	5.804223329	3.526501295	1.175200259
LMNB1	12.550106	7.446733802	1.899569861	1.40672036	4.188052033	11.39679066	67.24520528	11.44988511	2.352405382	1.80075754
CDCA8	23.89559592	1.781356758	1.41080886	1.010509656	4.103021016	0	63.7839658	8.155043092	3.855528383	0.993460349
CCNB1	69.28292422	3.884635911	1.977286027	2.224454896	7.450347642	27.0362987	157.9367065	12.24098882	9.3059448	4.043556796
TACC3	18.10644343	6.154672813	0.747367801	1.275457648	7.524081522	11.39679066	71.82280367	6.112971619	2.135880076	2.649907915
PBK	40.55846894	2.25316791	0.738433073	0.124330724	5.834479552	27.0362987	98.26955828	7.588705187	4.398553234	1.520215086
TYMS	29.57531479	4.24064449	1.690754463	3.06034851	19.08193652	0	90.63678862	15.88477814	8.015934848	10.11914214
MELK	17.01790929	2.532473691	0.886740747	0.685319022	1.321526337	0	44.60318626	6.620570862	3.337238886	1.486100886
RAD51AP1	13.87245573	2.920918976	1.087227598	0.963352853	1.925979074	0	35.85910955	6.081596306	1.013943745	2.042028318
CENPK	28.06687292	3.769590278	1.033980007	2.006800839	11.25427889	0	71.82832785	13.90059398	4.235363692	4.533859739
CDKN3	79.64891563	11.73379674	1.100909883	1.475940346	17.07727758	4.242717376	152.5206717	16.08443265	10.40764178	13.29239469
HMGB2	191.7953951	99.43192563	33.7676494	15.89791468	85.65597098	108.1967028	656.7704481	92.66195886	55.72820483	50.60238626
TROAP	11.15480577	0.276462737	0.414773225	0.496438472	4.542910545	8.485434751	45.99534511	6.260203359	5.263992802	1.114242593
AURKA	27.89695446	4.998588357	1.728764777	0.970892829	7.278246513	4.242717376	82.73798092	4.902991411	5.711669288	2.983668128
NEK2	20.31142571	1.379948508	0.443272178	0.15221705	3.799453464	26.4181512	54.16319816	2.692871983	1.911895537	1.060014822
NEURL1B	4.426882504	34.52559582	4.881245262	0.186352135	1.276885108	0	42.45152158	1.802447452	0.660027969	22.25601532
TK1	92.0302983	15.55784041	2.872357841	7.350706509	9.984424283	0	220.9760737	54.7167263	67.89925766	13.14795914
RRM2	89.94132623	5.836065663	1.714447811	1.822787401	16.20755458	0	165.4128758	21.72926509	14.28416347	6.215086516
RACGAP1	15.26369749	2.848137872	1.040081088	6.622908859	0.829665547	89.27632431	73.17478965	6.536242535	2.111354955	3.179304004
POC1A	21.23755597	5.97474819	0.566791519	1.07977167	2.471074376	0	40.97828343	4.911015315	2.987965486	1.982374636
RPL39L	7.242586513	1.014973487	2.693513965	9.306349441	3.498866227	0	43.58288759	15.05834982	25.55359181	22.10778421
TCF19	6.090391027	7.258193217	0.86658954	1.709580927	0.829665547	0	23.78808159	7.964556433	2.962502783	3.081518603
KIAA0101	216.9691098	14.29903218	10.916721	10.09374616	31.16711629	4.242717376	416.1131076	80.52700137	26.59275274	30.32145934
ECT2	21.72014013	5.175860402	2.204171678	7.464961284	14.13775792	0	62.90727056	13.31870808	22.52096436	1.73105794
SAPCD2	12.14994043	0.36782859	1.271553571	4.273672443	10.23669691	11.39679066	48.39668891	4.574417307	0.847723607	0.046754388
ASF1B	28.34056673	1.116444039	1.255889913	1.41655743	2.321381326	0	57.28605885	10.13173809	4.125270152	1.614239241
ZWINT	66.39761673	5.641614547	3.790978465	7.138180302	17.62575046	86.70944347	159.9341554	31.86798942	20.99921697	4.26217083
CKAP2	16.47497792	4.562206431	4.775930871	0.355624959	10.30942909	22.17543382	54.73332193	5.225525111	6.214213054	7.065601439
GPSM2	16.39295663	1.539811975	1.772135317	1.421029704	6.219149802	68.77672702	60.28706808	6.712813194	3.516588205	3.498293412
SPDL1	9.5591931	10.84046013	2.333133992	1.433151406	8.006290001	0	40.00920965	7.806149791	4.812947676	8.309511764
PARPBP	11.87586516	1.176613132	0.746512335	2.702501923	3.93149039	4.242717376	25.68696223	4.024956652	2.098738521	0.433432295
MAD2L1	64.96345653	9.959815531	1.480350785	3.345227073	10.32093062	4.242717376	92.10865489	11.57865602	8.457622279	11.15352665
ESCO2	12.3338313	1.705450656	1.21254369	0.276878227	1.892641581	0	32.38462852	4.827056882	6.00239154	1.076589677
CENPM	53.84678528	2.392068426	4.444857122	1.878450973	8.25083076	4.242717376	104.8761346	24.27755187	56.86115367	3.453437846
UBE2T	53.85078078	11.62241413	1.257737296	2.411128739	10.85023903	0	99.38783625	14.78400254	7.741156381	2.823309988
KIF20B	25.32892859	5.420871485	2.352218251	3.070312015	11.73058477	16.9708695	65.75336623	6.789973319	38.17214558	8.449486271
ATAD2	13.13540081	8.503045364	4.349892102	2.720860258	5.67676367	0	33.25302779	7.885534116	2.985228537	5.364401358
PHF19	15.1368491	3.736970361	4.080911224	0.490786234	5.807066689	4.242717376	31.99108261	6.159101261	3.571664056	5.135739083
LMNB2	15.77934291	4.516774408	4.895069704	8.186109771	15.6952644	8.485434751	61.49726404	14.57229767	6.851836517	4.163113346
CENPN	48.93271458	6.136188874	5.389162992	8.025262905	17.95035231	0	92.91049546	18.90767316	20.26098189	3.90360853
CDKN2D	5.845479403	26.17782068	10.16615843	7.433453874	10.98756844	0	43.17206954	4.068934615	2.154786666	27.16701893
SLFN13	3.954502281	0.631328363	6.869318308	4.73175126	7.380303975	55.70409982	31.76601567	9.185453258	1.298287517	2.799006275
NRM	6.158055222	12.25769944	1.532763771	0.878452232	1.471281861	0	18.72845664	4.081851071	1.563611649	14.90907774
HIST1H1E	8.394394337	6.931686263	4.918564814	5.852837803	2.416452968	0	17.3943632	3.63470765	2.589913276	4.627762017
ORC6	9.953651399	1.700141833	1.790735769	0.75236349	2.67085321	0	18.50046815	5.491136273	1.703999823	4.592561297
SMC4	59.26363887	62.39912853	15.43852818	7.542395328	14.60180643	8.485434751	128.9255337	24.19440554	17.31703808	23.05811189
UBE2S	73.81889658	70.34629882	79.93833835	49.91563101	72.9049348	73.6375919	262.2864174	61.77511625	32.66986609	69.6087596
NCAPD3	13.27296492	9.730094564	5.623630624	1.448507476	6.263391821	0	27.47494693	3.749350116	1.190168765	4.807619848
CHTF18	9.97570578	3.56399957	1.121566955	2.328142525	7.37212233	0	22.84031049	5.851695887	1.862757655	1.964673856
CCDC109B	10.11779528	41.60113117	6.535043153	5.688937757	9.317865824	0	36.00690729	14.43722368	5.942417836	3.203866114
HIST2H2AC	8.39719326	11.68118273	7.272371557	5.215415662	10.84615585	0	38.05712106	7.100785513	6.792592658	15.53408532
TMPO	54.72329645	41.21031769	22.12457251	30.88214667	35.63701941	112.7831196	184.8774998	64.90795405	18.3392014	16.56675158
DHFR	34.27435031	6.260226301	2.331366821	2.803843537	12.90641274	0	76.78779356	26.48073507	18.09320413	8.727656232
CEP78	9.836077172	7.858722733	4.099287164	5.004508792	9.076214549	0	25.8469488	5.3296969	4.126028382	5.040990803
CKAP5	19.55468538	15.92783251	8.565224083	6.719061019	10.7400835	4.242717376	49.08828775	14.07399292	3.985536442	14.56502057
HELLS	17.56653365	5.318670988	4.047562379	4.055961422	5.952445491	11.39679066	41.08363244	17.55803863	111.8698791	14.1047195
KPNA2	122.6680886	58.73756419	41.0154944	15.9862924	31.69722006	12.72815213	213.4329564	34.24843955	28.03861391	55.27204504
CDCA3	34.63955309	2.699499993	0.937577145	0.232408501	5.761223073	0	70.50627731	6.586762497	21.15857146	6.499270254
DTYMK	105.7229839	36.59511724	12.59104558	17.49256315	41.75322917	4.242717376	182.5338598	45.6405602	25.58300159	36.90942866
RP11-834C11.4	0.350923109	5.041835634	2.864471279	30.00035393	4.418378908	0	31.90606344	35.90462871	0.709667767	13.21795982
NDC1	19.57225134	4.967688431	3.199429	3.781457514	1.369817762	4.242717376	38.32739192	9.090744682	9.823089819	2.865789344
RRM1	38.51889351	23.39737797	11.59554914	6.815814379	7.654046066	4.242717376	76.41651104	24.94062921	10.37561944	19.99306356
DONSON	4.300221162	8.838476541	1.975621247	1.84962946	5.420536426	0	13.99971803	6.288906157	1.739440978	4.186805347
MIS18A	21.67578962	6.950893385	5.430549269	6.587305588	5.406830784	22.17543382	46.2130549	9.218611933	3.682627212	5.957190144
C18ORF56	14.93359269	0.59439149	0.447659212	1.78776459	3.206620038	15.63950804	28.98705139	8.248430408	6.196331591	1.013269149
H2AFX	14.96131067	37.70968708	16.08997554	19.01145855	9.495972184	4.242717376	79.59853257	16.78166342	43.86223719	24.39257026
CCDC34	75.36593683	14.25622863	21.72116773	17.14497553	22.27044076	4.242717376	160.5406352	47.10354689	19.69995932	29.31604426
CKS1B	133.0161988	46.68279542	24.52924121	29.53147167	56.68902209	209.8222957	265.5723705	65.81534218	34.75780436	50.62383556
CKS2	205.0894927	107.8412419	38.06538521	52.7081056	89.01902828	181.8241501	447.2703526	114.3990792	111.1025883	62.95436532
DBF4	22.77807393	10.34990484	5.115280202	14.24038202	7.561671611	0	40.46630449	11.71173912	8.478154481	6.247639027
U3	1.940038487	0.681127596	1.420538593	14.58874852	5.52239643	0	18.84899931	18.16292021	2.592912895	1.471270926
BARD1	8.602218427	5.887757437	1.12010237	3.725749255	5.723186139	0	19.83119423	8.089344876	1.737218403	5.19406844
SMC2	57.10238618	18.66223032	11.26466494	12.4071061	7.545659764	0	80.36570635	13.71446593	11.87222914	30.47226881
EZH2	18.76161195	13.47806337	6.38484014	2.718373383	41.88265905	0	36.86676274	12.34616513	5.701416434	9.697973203
RNF26	21.73710289	8.344386767	14.65924082	15.35938717	7.776440584	0	44.80089643	10.8245385	6.702962011	22.76281017
PRIM1	13.915498	4.845027282	2.977090794	2.880324028	3.286078289	0	24.27111038	4.911944364	0.643125353	3.536559021
SASS6	9.927490057	3.974400256	4.669917979	2.632313298	0.657235209	0	18.24599345	2.97719977	2.139051873	4.771476412
CDC25B	16.65906964	24.5669168	9.7293726	1.664341332	30.06746728	0	56.31131754	8.640520118	11.25645119	13.67561039
RNASEH2A	34.7338584	14.92844429	7.358973294	10.08609385	10.22701152	0	55.65596113	16.18753827	13.87810577	9.916906383
MPHOSPH9	6.126155834	11.8863391	12.79196834	5.000095344	0.540152215	0	13.88480112	2.943653615	3.999174552	5.814140015
RFC3	17.8334206	19.19111797	4.683595367	2.411160309	5.408568041	0	26.83995615	6.551963394	1.622293388	3.877452713
CENPH	26.29923035	6.894201211	2.464702083	4.257851952	5.130516946	0	36.78483032	8.919513284	4.061379893	3.839557808
TIMELESS	6.821731328	7.381577027	3.275553911	0.943864892	0.936409968	0	13.79923578	5.553701797	2.181359857	1.107901697
TTF2	10.4244722	5.906528382	3.90556571	1.504812349	5.116959285	4.242717376	25.20606939	5.826945328	3.141348808	2.306015189
CDK5RAP2	8.2445009	10.05115152	8.022804867	7.320283511	16.84063912	0	23.13853799	8.511783816	4.647075405	11.19428428
WHSC1	10.63349882	7.781115442	18.80795406	3.569175624	17.70979977	11.39679066	34.03216204	14.03753297	8.427616202	2.712185123
TUBA1B	789.1193953	962.9803102	243.7731849	182.8868803	374.4666619	130.7166117	1676.318422	429.5060028	317.2978813	565.670977
STMN1	252.0399174	182.4820872	293.1932966	45.46879204	510.9278631	192.9051293	632.7559272	86.24429541	61.50945388	106.3354646
ZWILCH	16.12801422	4.830692994	3.430001894	6.480322613	5.964466121	0	26.70204221	9.198254653	19.17453643	8.777873986
ITGB3BP	41.69894862	22.77014258	14.92179089	11.25855185	11.08471234	22.79358133	63.99490078	17.26854751	6.17358466	17.59282615
RCCD1	11.90894111	6.253439549	5.35872233	5.949464179	6.20694085	0	18.61785036	6.606226054	2.693426346	3.293323696
MCM4	18.1712611	3.761128182	5.085871228	2.177729304	7.369372039	0	27.80474031	17.0330958	6.029662104	1.767367523
CENPU	29.113514	6.42611072	2.069428661	2.14697547	2.740734254	0	34.31367957	10.58831532	3.824292474	2.251656422
MNS1	15.48899955	3.762170111	4.249810907	5.132614135	0.888207044	8.485434751	27.86004812	5.204051235	7.426047625	2.640731877
ATP9B	6.479683462	11.79016815	9.158725567	4.286494693	7.735860137	0	28.96655413	24.89981062	28.29929756	6.290124065
ANP32E	46.80612992	56.61619256	20.96846091	12.87021019	14.42129543	8.485434751	101.9405879	26.47821489	15.65081335	48.47361991
HMGN2	501.8452257	231.6241049	513.6249989	225.8534142	515.888833	398.2611141	1196.601374	350.3270256	241.5445302	555.1344198
GAS2L3	7.482438925	2.462070788	2.070303195	1.963850673	3.993810008	0	19.91403639	4.918015534	4.961804104	3.082784168
C14ORF80	28.89656235	6.776921782	4.158730147	3.577300856	11.78557169	0	51.16593306	16.98333324	42.22470076	10.52456801
MIS18BP1	16.25861269	33.80070543	6.001334005	13.79156194	3.954187745	15.63950804	49.45748315	12.04979204	8.801591908	3.241561499
LIG1	17.82939548	5.090634558	3.799539126	1.679899261	7.716226037	0	27.68200938	7.521800958	2.922617747	19.54662624
SKA2	18.77236741	26.88447363	14.17005568	7.60370823	14.15862134	12.72815213	79.07069069	32.09047889	15.29132707	43.74078339
NUDT1	45.64261805	13.50849653	2.848476872	6.169878771	17.0326429	15.63950804	101.1372142	25.98957963	35.259232	25.93594056
FEN1	33.01199523	4.749132284	2.662276141	2.236776644	5.114699889	11.39679066	38.46960934	13.39077689	4.312117	3.26473781
COQ2	5.112386427	4.718879402	6.320338862	3.055701044	2.888115315	0	13.69905789	6.047831807	5.999742898	5.147578946
FANCA	6.712799578	8.39460554	3.071120919	4.846677996	4.52723468	0	13.8458361	5.941549844	2.732640133	1.544290303
TUBB	496.6955653	336.4075883	123.69612	104.3297831	326.5481684	291.6287353	834.352104	191.4185987	114.0050298	342.5608983
VRK1	29.82008875	21.23167678	7.491308671	5.437540167	17.47582541	4.242717376	38.91461565	11.46098706	4.981534779	7.55282592
MLN	0.042672078	5.261285804	7786.044657	0.449875829	4.17796929	0	6.350641298	6.328895778	8.011776359	41.77638269
GAST	8.765230347	829.9510764	206802.9237	994.9648436	2490.708884	3263.05002	1285.405074	1466.920438	903.1301055	1329.139743
